,num_s1_phd,cs2
0,0.8224816,101.05302
1,1.5203631,143.16927
2,1.7711873,210.77048
3,0.94697374,118.971825
4,2.9062963,71.53387
5,1.1786861,76.295265
6,0.6281799,189.67146
7,0.92135197,78.63055
8,1.0302668,29.697515
9,0.8953956,75.817444
10,1.2003131,109.333824
11,1.1791728,33.878727
12,1.6635745,39.30708
13,0.8647385,67.05446
14,3.0703673,118.074554
15,1.2025965,27.767586
16,0.5398045,75.788635
17,0.82412004,82.54338
18,3.6802456,216.9992
19,2.197649,198.60715
20,1.0356864,136.92744
21,1.5430694,23.41117
22,2.4935946,105.25744
23,0.7809678,163.31786
24,1.3640927,78.99812
25,1.4796085,99.05951
26,4.7972775,92.01147
27,0.74383646,99.65812
28,0.88013583,194.70111
29,1.1765891,69.1854
30,2.2574937,127.68587
31,0.8144778,84.50927
32,1.0272473,98.610695
33,2.354976,26.467665
34,1.4148669,153.71365
35,0.7742206,70.09306
36,0.81126374,37.71771
37,0.96101403,96.95755
38,2.4634356,111.949936
39,0.688964,40.041325
40,0.7630323,116.88169
41,2.0429683,57.603687
42,1.0702659,74.99552
43,1.3734903,127.23195
44,0.8388709,143.4398
45,0.9682638,149.86519
46,2.1614828,116.72499
47,2.4588497,34.252666
48,1.0500469,44.316994
49,0.8401933,151.25836
50,1.1341922,105.385864
51,1.9820873,73.108
52,1.2297338,124.6247
53,0.9742447,119.199295
54,1.2823836,125.85495
55,1.1278677,87.094284
56,1.1219738,160.1693
57,2.159187,254.89732
58,2.7307112,24.87271
59,3.0266576,168.10547
60,1.7210016,64.061264
61,2.224582,34.820904
62,2.3588667,25.339901
63,1.9390748,64.05732
64,1.5134201,236.50952
65,2.2844825,30.23734
66,2.3951516,69.186806
67,2.295245,219.28206
68,2.2951965,62.273453
69,1.1638365,34.086124
70,1.0660396,24.59534
71,1.9479825,34.601368
72,1.3979151,248.77164
73,1.3730533,36.559525
74,1.8750478,109.503654
75,0.73158735,100.871284
76,0.6628472,199.7305
77,0.98220617,235.0587
78,0.68693304,134.74863
79,2.1817713,63.0529
80,0.4933995,76.36856
81,1.4052538,41.961536
82,2.2464185,80.57518
83,1.1139246,78.26572
84,0.9618219,61.39847
85,0.6683909,93.01172
86,1.1648893,30.763744
87,1.4375942,72.6693
88,0.72090375,183.84601
89,1.9739639,142.14809
90,0.855036,72.374695
91,0.6910868,157.71391
92,1.9793526,28.894575
93,0.8865726,89.71198
94,1.0098867,91.959206
95,3.4053216,34.80216
96,1.0503545,65.17579
97,0.41428074,25.0009
98,1.0574685,44.074112
99,1.3998256,73.80756
100,0.9554082,120.93687
101,4.797526,35.352345
102,1.1244725,371.71396
103,2.630803,195.7689
104,1.135541,37.341106
105,1.38091,44.018265
106,1.1301827,96.65946
107,1.2168207,293.02594
108,1.0344841,78.89914
109,1.8055872,164.7196
110,0.7702214,69.96417
111,1.0820448,35.48295
112,0.70040184,113.46578
113,2.3452115,32.294994
114,1.3632824,77.16154
115,1.1550184,325.93317
116,1.0163285,68.2032
117,1.3899924,57.905193
118,1.8291277,57.67236
119,0.9139031,342.93924
120,1.1837443,51.599262
121,2.1580524,248.69443
122,1.0489953,234.98955
123,1.176815,63.597267
124,0.9555281,98.32321
125,1.7054397,173.56201
126,0.6980064,38.16327
127,1.2299689,30.278585
128,0.73191136,193.67743
129,2.3757348,35.04938
130,1.1369972,186.32913
131,0.8752923,146.86757
132,1.6395218,89.4172
133,3.9747643,43.085857
134,1.0406301,112.89174
135,1.0601721,112.57173
136,1.8160428,110.9285
137,0.96841455,105.10912
138,1.9779761,108.069855
139,1.179913,85.29738
140,0.86372626,183.74156
141,3.264269,161.74472
142,1.6615235,114.44684
143,0.9632181,209.29124
144,1.1117486,123.855644
145,1.8660033,115.15177
146,2.0994573,74.96592
147,0.7435764,35.60004
148,1.1663376,158.07193
149,0.97649044,130.40265
150,0.80746543,127.26062
151,2.8012412,48.492664
152,3.7829895,201.86987
153,0.87276363,99.409996
154,1.086159,107.442444
155,1.1152623,36.336437
156,0.82151234,141.08553
157,1.3679422,70.77584
158,0.6635133,63.895687
159,2.2875366,33.34293
160,1.1849418,72.20866
161,0.8072547,27.590752
162,0.88582325,42.58701
163,1.3380966,29.442854
164,2.3962827,67.553604
165,2.3505812,132.78372
166,1.4447864,30.785034
167,2.3631887,75.828865
168,2.5026474,51.58037
169,1.2024539,35.389534
170,1.8496573,159.29955
171,2.3419962,175.10118
172,0.8138747,106.079636
173,1.1899195,227.59392
174,1.2334374,78.669136
175,2.6023254,85.727646
176,2.3020525,206.76921
177,3.3655462,223.45259
178,0.84748924,107.27714
179,1.0671179,65.16767
180,1.0186125,63.33017
181,2.1785562,169.38165
182,0.64733297,20.778566
183,2.2849598,23.295345
184,0.56784296,36.438507
185,0.99798805,245.1423
186,0.9299363,140.43854
187,1.2258202,20.226887
188,1.1255556,34.795776
189,1.2969486,97.30996
190,0.8350283,42.493572
191,2.4694295,26.734371
192,1.9068339,81.73032
193,1.8843464,167.85458
194,2.3270214,102.524605
195,1.2112962,107.113884
196,1.1467333,37.54108
197,1.0309801,63.560555
198,1.0088066,23.444283
199,1.143943,26.260468
200,1.2505956,191.60278
201,0.5924835,115.72118
202,1.3705988,202.11278
203,1.026292,46.04691
204,0.9108783,199.77895
205,1.2123511,83.69414
206,1.9056245,81.887085
207,1.307934,176.94527
208,0.8720071,66.89443
209,2.6893713,144.05339
210,0.84423435,40.173
211,2.216882,143.36917
212,2.1732852,193.03447
